what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369783498679
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1369783499395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369783501038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783508243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783511694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783514575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783520033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783520323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783520580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783520813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783521086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783521441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369783521684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783528231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783529742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783554251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783564059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783564209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783564351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783564498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783564661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783565911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783568047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783568990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783588700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783599093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783600358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783609104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783617275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783618174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783623139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369783633246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369783649284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783650335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369783669200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369783676186
