what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789724854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789778552
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369789779870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789783490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789792105
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789792472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789792524
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369789794086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789800449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789804620
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789804713
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789804749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369789806806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789810527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789817161
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789817528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789817561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369789819448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789822790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369789825789
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789826152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369789826184
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369789827830
